0.000,9
0.010,10
0.020,9
0.030,15
0.040,16
0.050,14
0.060,12
0.070,12
0.080,12
0.090,13
0.100,13
0.110,10
0.120,12
0.130,8
0.140,14
0.150,10
0.160,13
0.170,10
0.180,11
0.190,13
0.200,13
0.210,11
0.220,12
0.230,9
0.240,14
0.250,9
0.260,13
0.270,14
0.280,12
0.290,12
0.300,15
0.310,13
0.320,11
0.330,11
0.340,14
0.350,13
0.360,15
0.370,13
0.380,13
0.390,13
0.400,12
0.410,13
0.420,13
0.430,12
0.440,12
0.450,14
0.460,12
0.470,13
0.480,12
0.490,12
0.500,11
0.510,13
0.520,12
0.530,10
0.540,11
0.550,11
0.560,11
0.570,12
0.580,11
0.590,12
0.600,12
0.610,13
0.620,11
0.630,14
0.640,12
0.650,10
0.660,13
0.670,12
0.680,13
0.690,12
0.700,12
0.710,9
0.720,15
0.730,9
0.740,11
0.750,12
0.760,10
0.770,13
0.780,14
0.790,11
0.800,13
0.810,13
0.820,13
0.830,12
0.840,10
0.850,9
0.860,12
0.870,10
0.880,13
0.890,11
0.900,11
0.910,12
0.920,12
0.930,13
0.940,14
0.950,13
0.960,10
0.970,11
0.980,11
0.990,11
1.000,11
1.010,14
1.020,12
1.030,11
1.040,13
1.050,12
1.060,11
1.070,11
1.080,13
1.090,10
1.100,11
1.110,9
1.120,10
1.130,12
1.140,12
1.150,14
1.160,12
1.170,12
1.180,12
1.190,13
1.200,10
1.210,13
1.220,10
1.230,12
1.240,11
1.250,12
1.260,14
1.270,10
1.280,12
1.290,13
1.300,12
1.310,11
1.320,13
1.330,12
1.340,13
1.350,13
1.360,12
1.370,11
1.380,13
1.390,11
1.400,12
1.410,12
1.420,12
1.430,10
1.440,13
1.450,13
1.460,11
1.470,14
1.480,13
1.490,13
1.500,10
1.510,14
1.520,14
1.530,13
1.540,13
1.550,13
1.560,13
1.570,12
1.580,15
1.590,13
1.600,12
1.610,11
1.620,12
1.630,12
1.640,11
1.650,13
1.660,10
1.670,10
1.680,9
1.690,13
1.700,10
1.710,12
1.720,14
1.730,12
1.740,11
1.750,14
1.760,10
1.770,12
1.780,12
1.790,14
1.800,14
1.810,12
1.820,12
1.830,10
1.840,11
1.850,9
1.860,11
1.870,11
1.880,11
1.890,13
1.900,13
1.910,10
1.920,14
1.930,13
1.940,8
1.950,14
1.960,14
1.970,14
1.980,13
1.990,13
2.000,14
2.010,15
2.020,15
2.030,15
2.040,12
2.050,15
2.060,15
2.070,14
2.080,15
2.090,14
2.100,13
2.110,9
2.120,11
2.130,13
2.140,11
2.150,10
2.160,14
2.170,13
2.180,14
2.190,13
2.200,13
2.210,16
2.220,13
2.230,13
2.240,14
2.250,14
2.260,12
2.270,13
2.280,14
2.290,15
2.300,12
2.310,16
2.320,15
2.330,15
2.340,13
2.350,15
2.360,13
2.370,12
2.380,14
2.390,11
2.400,12
2.410,12
2.420,11
2.430,12
2.440,10
2.450,12
2.460,11
2.470,14
2.480,12
2.490,14
2.500,10
2.510,12
2.520,16
2.530,13
2.540,13
2.550,13
2.560,13
2.570,10
2.580,13
2.590,14
2.600,14
2.610,12
2.620,13
2.630,12
2.640,13
2.650,13
2.660,11
2.670,10
2.680,11
2.690,14
2.700,13
2.710,9
2.720,10
2.730,13
2.740,14
2.750,14
2.760,11
2.770,12
2.780,13
2.790,13
2.800,13
2.810,12
2.820,13
2.830,15
2.840,14
2.850,11
2.860,13
2.870,10
2.880,12
2.890,13
2.900,12
2.910,14
2.920,13
2.930,11
2.940,13
2.950,14
2.960,14
2.970,13
2.980,8
2.990,15
3.000,13
3.010,13
3.020,12
3.030,13
3.040,13
3.050,14
3.060,12
3.070,12
3.080,14
3.090,9
3.100,10
3.110,11
3.120,14
3.130,14
3.140,14
3.150,15
3.160,14
3.170,11
3.180,12
3.190,13
3.200,14
3.210,15
3.220,12
3.230,11
3.240,14
3.250,11
3.260,15
3.270,15
3.280,13
3.290,14
3.300,11
3.310,13
3.320,13
3.330,11
3.340,10
3.350,12
3.360,12
3.370,16
3.380,15
3.390,15
3.400,13
3.410,14
3.420,12
3.430,11
3.440,13
3.450,12
3.460,12
3.470,12
3.480,12
3.490,13
3.500,11
3.510,12
3.520,11
3.530,13
3.540,14
3.550,11
3.560,13
3.570,11
3.580,13
3.590,17
3.600,12
3.610,10
3.620,15
3.630,15
3.640,14
3.650,12
3.660,13
3.670,9
3.680,14
3.690,14
3.700,15
3.710,15
3.720,12
3.730,11
3.740,14
3.750,15
3.760,12
3.770,13
3.780,15
3.790,15
3.800,13
3.810,14
3.820,15
3.830,12
3.840,13
3.850,13
3.860,15
3.870,14
3.880,14
3.890,14
3.900,10
3.910,13
3.920,10
3.930,13
3.940,15
3.950,13
3.960,13
3.970,10
3.980,14
3.990,13
4.000,14
4.010,10
4.020,11
4.030,11
4.040,13
4.050,8
4.060,9
4.070,14
4.080,11
4.090,15
4.100,16
4.110,10
4.120,14
4.130,14
4.140,13
4.150,12
4.160,11
4.170,15
4.180,12
4.190,12
4.200,11
4.210,12
4.220,12
4.230,15
4.240,12
4.250,12
4.260,10
4.270,15
4.280,13
4.290,13
4.300,11
4.310,12
4.320,12
4.330,15
4.340,11
4.350,13
4.360,16
