0.000,10
0.010,10
0.020,11
0.030,9
0.040,8
0.050,10
0.060,11
0.070,8
0.080,11
0.090,11
0.100,12
0.110,10
0.120,12
0.130,7
0.140,11
0.150,9
0.160,11
0.170,12
0.180,14
0.190,13
0.200,11
0.210,12
0.220,15
0.230,9
0.240,11
0.250,9
0.260,13
0.270,11
0.280,8
0.290,9
0.300,9
0.310,12
0.320,11
0.330,13
0.340,11
0.350,10
0.360,11
0.370,10
0.380,12
0.390,13
0.400,11
0.410,11
0.420,13
0.430,13
0.440,14
0.450,12
0.460,9
0.470,13
0.480,11
0.490,10
0.500,10
0.510,11
0.520,12
0.530,10
0.540,11
0.550,12
0.560,13
0.570,13
0.580,14
0.590,10
0.600,14
0.610,11
0.620,14
0.630,14
0.640,13
0.650,15
0.660,16
0.670,12
0.680,13
0.690,13
0.700,13
0.710,13
0.720,10
0.730,12
0.740,12
0.750,13
0.760,11
0.770,12
0.780,10
0.790,14
0.800,13
0.810,10
0.820,12
0.830,11
0.840,12
0.850,11
0.860,9
0.870,12
0.880,10
0.890,10
0.900,10
0.910,10
0.920,10
0.930,13
0.940,10
0.950,9
0.960,10
0.970,9
0.980,13
0.990,10
1.000,11
1.010,11
1.020,9
1.030,11
1.040,10
1.050,10
1.060,11
1.070,9
1.080,9
1.090,11
1.100,9
1.110,13
1.120,10
1.130,12
1.140,12
1.150,12
1.160,13
1.170,8
1.180,12
1.190,13
1.200,8
1.210,11
1.220,12
1.230,11
1.240,11
1.250,10
1.260,13
1.270,11
1.280,10
1.290,10
1.300,8
1.310,10
1.320,10
1.330,9
1.340,9
1.350,14
1.360,9
1.370,10
1.380,10
1.390,11
1.400,11
1.410,12
1.420,9
1.430,10
1.440,9
1.450,7
1.460,7
1.470,9
1.480,9
1.490,12
1.500,9
1.510,14
1.520,9
1.530,11
1.540,11
1.550,13
1.560,11
1.570,10
1.580,9
1.590,11
1.600,9
1.610,12
1.620,11
1.630,12
1.640,10
1.650,8
1.660,11
1.670,9
1.680,10
1.690,12
1.700,11
1.710,10
1.720,10
1.730,11
1.740,11
1.750,7
1.760,12
1.770,10
1.780,13
1.790,14
1.800,10
1.810,10
1.820,11
1.830,12
1.840,5
1.850,8
1.860,10
1.870,13
1.880,11
1.890,12
1.900,9
1.910,11
1.920,12
1.930,11
1.940,10
1.950,11
1.960,10
1.970,11
1.980,8
1.990,10
2.000,14
2.010,12
2.020,12
2.030,12
2.040,13
2.050,12
2.060,11
2.070,14
2.080,11
2.090,12
2.100,12
2.110,14
2.120,11
2.130,12
2.140,15
2.150,12
2.160,13
2.170,12
2.180,12
2.190,13
2.200,13
2.210,13
2.220,14
2.230,15
2.240,15
2.250,15
2.260,14
2.270,14
2.280,12
2.290,12
2.300,13
2.310,14
2.320,14
2.330,13
2.340,15
2.350,11
2.360,13
2.370,14
2.380,14
2.390,12
2.400,12
2.410,14
2.420,13
2.430,13
2.440,13
2.450,14
2.460,14
2.470,14
2.480,11
2.490,14
